编号|汉语|英语
0x9066|蠕动泵校准时Y轴电机第二次运动至废液槽触发抽废液位置时编码器差值超48步以上|When peristaltic pump is calibrated and the Y-axis motor moves to the location of waste liquid tank and triggers the pumping of waste liquid for the second time, the encoder difference exceeds 48 steps
0x9067|蠕动泵校准时Y轴电机第二次运动至废液槽触发抽废液位置补偿运动后编码器差值超48步以上|When peristaltic pump is calibrated, the encoder difference exceeds 48 steps after the Y-axis motor moves to the location of waste liquid tank and triggers the pumping of waste liquid for compensation 
0x9068|蠕动泵校准时Y轴电机第二次运动至样本针清洗位置时编码器差值超48步以上|When peristaltic pump is calibrated and the Y-axis motor moves to the sampling needle cleaning position for the second time, the encoder difference exceeds 48 steps
0x9069|蠕动泵校准时Y轴电机第二次运动至样本针清洗位置补偿运动后编码器差值超48步以上|When peristaltic pump is calibrated, the encoder difference exceeds 48 steps after the Y-axis motor moves to the sampling needle cleaning position for the second time for compensation
0x9070|膜条拍照时Z轴电机运动至复位位置复位光耦无效|When the strip is photographed, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9071|膜条拍照时Y轴电机运动至清洗位置时编码器差值超48步以上|When the strip is photographed and the Y-axis motor moves to the cleaning position, the encoder difference exceeds 48 steps
0x9072|膜条拍照时Y轴电机补偿运动后编码器差值超48步以上|When the strip is photographed, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9073|膜条拍照时X轴电机运动至膜条拍照位时编码器差值超48步以上|When the strip is photographed and the X-axis motor moves to the strip photographing position, the encoder difference exceeds 48 steps
0x9074|膜条拍照时X轴电机补偿运动后编码器差值超48步以上|When the strip is photographed, the encoder difference exceeds 48 steps after the X-axis motor moves for compensation
0x9075|膜条拍照时摇床电机运动至拍照位置复位光耦有效|When the strip is photographed, the shaking table motor moves to the photographing position and the reset optical coupler is valid
0x9080|系统液充灌时Z轴电机运动至复位位置复位光耦无效|When the system liquid is filled, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9081|系统液充灌时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When the system liquid is filled and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x9082|系统液充灌时Y轴电机运动至样本针清洗位置补偿运动后编码器差值超48步以上|When the system liquid is filled, the encoder difference exceeds 48 steps after the Y-axis motor moves to the sampling needle cleaning position for compensation
0x9083|系统液充灌时 样本针柱塞泵电机初始化复位光耦无效|When the system liquid is filled and the sampling needle plunger pump motor is initialized, the reset optical coupler is invalid
0x9084|系统液充灌时Z轴电机运动至清洗位一半高度时复位光耦有效|When the system liquid is filled, the Z-axis motor moves to the half height of the cleaning position and the reset optical coupler is valid
0x9088|系统液管路清洗时Z轴电机运动至复位位置复位光耦无效|When the system pipeline is cleaned, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9089|系统液管路清洗时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When the system pipeline is cleaned and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x908A|系统液管路清洗时Y轴电机运动至样本针清洗位置补偿运动后编码器差值超48步以上|When the system pipeline is cleaned, the encoder difference exceeds 48 steps after the Y-axis motor moves to the sampling needle cleaning position for compensation
0x908B|系统液管路清洗时 样本针柱塞泵电机初始化复位光耦无效|When the system pipeline is cleaned, the sampling needle plunger pump motor is initialized and the reset optical coupler is invalid
0x908C|系统液管路清洗时Z轴电机运动至清洗位高度时复位光耦有效|When the system pipeline is cleaned, the Z-axis motor moves to the height of cleaning position and the reset optical coupler is valid
0xA0xx|电机初始化时定速运动到复位位置时用时12s复位光耦无效|During initialization, it takes 12s for the motor to move to the reset position at a constant speed, and the reset optical coupler is invalid
0xA1xx|电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA1xx|电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA1xx|电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA101|X轴电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA002|Y轴电机初始化时定速运动到复位位置时用时12s复位光耦无效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA102|Y轴电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA003|Z轴电机初始化时定速运动到复位位置时用时12s复位光耦无效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA103|Z轴电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA004|样本柱塞泵电机初始化时定速运动到复位位置时用时12s复位光耦无效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA104|样本柱塞泵电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA005|摇床电机初始化时定速运动到复位位置时用时12s复位光耦无效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0xA105|摇床电机初始化时退出复位位置设定的步数时复位光耦有效|When the motor exits the steps set by the reset position during initialization, the reset optical coupler is valid
0x8f00|设备开盖|Device cover is open
0x8f01|废液瓶满|The waste liquid bottle is full
0x8f02|系统液空|The system liquid is empty
0x8f03|设备未开盖|The device cover is not open
0x8f04|废液瓶未满|The waste liquid bottle is not full
0x8f05|系统液不空|The system liquid is not empty
0x8f06|样本针全程未检测到液位|The sample probe did not detect liquid level throughout the entire process
0x8f07|样本针探测到液位后到达最大距离|The sample probe reaches the maximum distance after detecting the liquid level
0x8f08|样本针开启液位探测后异常|Abnormal liquid level detection after sample probe activation
